plastic_type,microorganism,degradation_rate,days,temperature,pH
Nylon,Sulfolobus acidocaldarius,71,263,23,5
Polystyrene,Bacillus alcalophilus,50,49,27,8
Nylon,Exiguobacterium sp.,34,16,39,9
Polyethylene Terephthalate (PET),Streptomyces coelicolor,81,145,24,7
Polycarbonate,Exiguobacterium sp.,4,340,23,7
Polyvinyl Chloride,Thermobifida fusca,13,250,33,9
Polystyrene,Bacillus subtilis,91,343,34,9
Nylon,Citrobacter koseri,29,354,28,5
Polyurethane,Fusarium solani,3,75,39,7
Polystyrene,Aspergillus niger,38,290,28,8
Polycarbonate,Exiguobacterium sp.,83,282,31,6
Polyethylene,Fusarium solani,63,66,36,6
Polystyrene,Bacillus subtilis,24,125,35,5
Polyethylene,Halomonas titanicae,27,319,26,5
Polycarbonate,Bacillus subtilis,75,87,31,7
Nylon,Acidithiobacillus ferrooxidans,65,41,37,8
Polycarbonate,Bacillus alcalophilus,77,186,28,8
Polystyrene,Ideonella sakaiensis,21,354,36,9
Polyurethane,Halomonas titanicae,30,335,25,5
Polypropylene,Aspergillus niger,22,266,29,6
Polystyrene,Streptomyces coelicolor,47,271,34,6
Polycarbonate,Citrobacter koseri,19,42,28,7
Polypropylene,Fusarium solani,37,93,10,6
Polycarbonate,Citrobacter koseri,54,185,28,8
Polyurethane,Sulfolobus acidocaldarius,67,215,16,8
Polycarbonate,Thermobifida fusca,78,17,38,5
Nylon,Bacillus subtilis,87,265,32,7
Polyvinyl Chloride,Exiguobacterium sp.,88,114,20,6
Polyethylene,Streptomyces coelicolor,0,292,14,5
Polyethylene,Sulfolobus acidocaldarius,6,292,39,9
Polystyrene,Bacillus subtilis,56,48,26,9
Polyvinyl Chloride,Pseudomonas aeruginosa,94,307,20,6
Polycarbonate,Exiguobacterium sp.,11,97,33,6
Polyurethane,Halomonas titanicae,4,95,35,6
Polystyrene,Bacillus alcalophilus,49,326,17,8
Polycarbonate,Ochrobactrum sp.,41,74,19,6
Polypropylene,Fusarium solani,11,336,21,9
Polyethylene Terephthalate (PET),Ideonella sakaiensis,17,68,19,6
Polycarbonate,Acidithiobacillus ferrooxidans,65,246,22,7
Polyvinyl Chloride,Aspergillus niger,73,77,35,9
Polystyrene,Aspergillus niger,78,208,27,7
Polyvinyl Chloride,Ideonella sakaiensis,93,254,19,9
Polystyrene,Halomonas titanicae,16,221,28,5
Polycarbonate,Alcanivorax borkumensis,67,262,29,9
Nylon,Aspergillus niger,70,331,26,9
Polypropylene,Fusarium solani,61,344,29,7
Polycarbonate,Halomonas titanicae,40,259,25,7
Polyethylene,Streptomyces coelicolor,94,308,14,9
Polyvinyl Chloride,Aspergillus niger,33,74,12,9
Polyethylene Terephthalate (PET),Citrobacter koseri,69,125,39,8
Polyethylene Terephthalate (PET),Halomonas titanicae,44,188,36,5
Polyurethane,Fusarium solani,57,254,24,5
Polystyrene,Ideonella sakaiensis,50,321,35,6
Polyvinyl Chloride,Ochrobactrum sp.,33,308,11,9
Polyurethane,Citrobacter koseri,43,235,22,9
Polyvinyl Chloride,Exiguobacterium sp.,14,250,31,9
Polyethylene,Exiguobacterium sp.,77,332,17,9
Polystyrene,Aspergillus niger,69,345,32,5
Polycarbonate,Citrobacter koseri,49,72,36,7
Polycarbonate,Bacillus alcalophilus,100,235,39,8
Polyethylene Terephthalate (PET),Bacillus subtilis,31,324,26,7
Polycarbonate,Exiguobacterium sp.,66,156,13,7
Polycarbonate,Bacillus alcalophilus,2,115,28,5
Polyethylene,Streptomyces coelicolor,85,313,31,8
Nylon,Halomonas titanicae,85,228,34,9
Polyethylene Terephthalate (PET),Bacillus subtilis,73,322,18,5
Polyurethane,Sulfolobus acidocaldarius,50,346,32,5
Polypropylene,Thermobifida fusca,66,245,24,8
Nylon,Fusarium solani,75,306,37,6
Polyurethane,Acidithiobacillus ferrooxidans,92,14,18,5
Polystyrene,Thermobifida fusca,47,16,33,7
Nylon,Thermobifida fusca,16,42,30,7
Polyethylene,Halomonas titanicae,6,110,18,9
Polyurethane,Ideonella sakaiensis,12,278,23,5
Polystyrene,Bacillus subtilis,65,324,32,9
Polyethylene Terephthalate (PET),Fusarium solani,3,19,30,5
Polypropylene,Bacillus subtilis,9,66,25,8
Polystyrene,Citrobacter koseri,87,167,40,5
Polycarbonate,Streptomyces coelicolor,16,73,33,6
Polyvinyl Chloride,Pseudomonas aeruginosa,51,310,40,7
Polystyrene,Acidithiobacillus ferrooxidans,5,112,32,8
Polystyrene,Aspergillus niger,82,274,34,7
Polypropylene,Bacillus subtilis,68,85,35,9
Polyvinyl Chloride,Fusarium solani,95,139,26,8
Polycarbonate,Fusarium solani,73,39,40,6
Polyurethane,Citrobacter koseri,8,105,22,7
Polyurethane,Bacillus alcalophilus,90,324,18,5
Polystyrene,Halomonas titanicae,76,281,24,5
Polyethylene,Ideonella sakaiensis,82,123,16,5
Polyethylene,Pseudomonas aeruginosa,20,218,10,8
Polyvinyl Chloride,Alcanivorax borkumensis,23,61,10,6
Polyvinyl Chloride,Aspergillus niger,3,100,14,6
Polycarbonate,Sulfolobus acidocaldarius,23,307,33,6
Polypropylene,Alcanivorax borkumensis,58,354,18,7
Polyethylene Terephthalate (PET),Thermobifida fusca,98,204,21,8
Polyurethane,Halomonas titanicae,2,258,15,5
Polypropylene,Thermobifida fusca,67,5,37,7
Nylon,Thermobifida fusca,100,197,22,6
Polyurethane,Aspergillus niger,39,180,35,5
Polypropylene,Fusarium solani,47,342,37,8
Polyurethane,Ochrobactrum sp.,53,133,17,9
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,34,324,24,6
Nylon,Bacillus subtilis,94,253,15,6
Polyethylene,Bacillus alcalophilus,55,265,36,6
Polyethylene,Pseudomonas aeruginosa,88,93,15,6
Polyethylene Terephthalate (PET),Bacillus subtilis,39,150,13,5
Polycarbonate,Ideonella sakaiensis,76,138,20,8
Nylon,Bacillus alcalophilus,67,208,30,7
Polystyrene,Streptomyces coelicolor,45,125,39,5
Polypropylene,Ochrobactrum sp.,77,234,27,8
Nylon,Citrobacter koseri,12,61,12,7
Polycarbonate,Aspergillus niger,26,307,12,6
Polycarbonate,Bacillus subtilis,5,266,39,8
Polyethylene Terephthalate (PET),Bacillus alcalophilus,16,134,21,6
Polyurethane,Ochrobactrum sp.,35,318,36,8
Nylon,Alcanivorax borkumensis,98,113,30,9
Polypropylene,Citrobacter koseri,80,191,39,6
Nylon,Bacillus alcalophilus,1,187,30,6
Polyvinyl Chloride,Exiguobacterium sp.,76,319,15,6
Polyurethane,Thermobifida fusca,51,89,30,5
Polypropylene,Streptomyces coelicolor,65,187,37,7
Polyethylene,Halomonas titanicae,51,307,15,6
Polypropylene,Bacillus subtilis,91,132,17,6
Polystyrene,Thermobifida fusca,42,360,24,5
Polyethylene Terephthalate (PET),Ideonella sakaiensis,89,123,27,5
Polystyrene,Pseudomonas aeruginosa,21,48,29,9
Polypropylene,Ochrobactrum sp.,54,288,38,8
Polyurethane,Streptomyces coelicolor,66,179,25,6
Nylon,Citrobacter koseri,98,180,15,8
Polyethylene,Exiguobacterium sp.,59,99,37,5
Nylon,Aspergillus niger,57,330,30,5
Polyurethane,Alcanivorax borkumensis,11,34,26,9
Polypropylene,Pseudomonas aeruginosa,87,70,18,7
Polycarbonate,Bacillus subtilis,68,171,28,5
Nylon,Ochrobactrum sp.,83,272,27,6
Polycarbonate,Pseudomonas aeruginosa,38,59,34,9
Nylon,Streptomyces coelicolor,12,181,32,7
Nylon,Ochrobactrum sp.,40,19,14,9
Polyethylene,Citrobacter koseri,56,226,37,5
Polyethylene Terephthalate (PET),Aspergillus niger,52,95,15,7
Polyethylene Terephthalate (PET),Fusarium solani,11,297,21,8
Polyvinyl Chloride,Ideonella sakaiensis,12,81,20,7
Polystyrene,Exiguobacterium sp.,73,175,25,6
Polyurethane,Bacillus subtilis,96,222,29,8
Polyurethane,Fusarium solani,56,103,26,8
Polyurethane,Alcanivorax borkumensis,39,54,29,6
Polyvinyl Chloride,Aspergillus niger,79,183,18,8
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,44,351,10,5
Polypropylene,Acidithiobacillus ferrooxidans,34,318,35,7
Polycarbonate,Aspergillus niger,2,355,12,7
Polyethylene,Exiguobacterium sp.,4,349,40,6
Polycarbonate,Sulfolobus acidocaldarius,89,321,40,5
Polypropylene,Fusarium solani,10,68,30,8
Polyethylene,Bacillus alcalophilus,70,28,32,7
Polyvinyl Chloride,Pseudomonas aeruginosa,55,274,18,7
Polypropylene,Bacillus subtilis,9,282,31,7
Polyurethane,Sulfolobus acidocaldarius,33,360,28,7
Polystyrene,Bacillus alcalophilus,66,311,22,9
Nylon,Ideonella sakaiensis,71,119,32,6
Polycarbonate,Citrobacter koseri,30,134,40,8
Polyethylene Terephthalate (PET),Bacillus subtilis,74,129,23,8
Polyethylene Terephthalate (PET),Bacillus subtilis,70,8,29,6
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,65,51,28,5
Polyethylene,Exiguobacterium sp.,69,341,39,6
Polyethylene Terephthalate (PET),Citrobacter koseri,40,281,32,7
Polyurethane,Pseudomonas aeruginosa,62,175,36,7
Polycarbonate,Halomonas titanicae,31,183,36,6
Polypropylene,Bacillus alcalophilus,19,192,16,6
Polyurethane,Acidithiobacillus ferrooxidans,56,249,13,8
Polyvinyl Chloride,Bacillus subtilis,97,235,21,8
Polyurethane,Sulfolobus acidocaldarius,49,83,32,9
Polypropylene,Thermobifida fusca,79,93,36,9
Polystyrene,Acidithiobacillus ferrooxidans,24,312,23,7
Polyvinyl Chloride,Bacillus alcalophilus,11,268,11,9
Polystyrene,Bacillus alcalophilus,70,120,10,9
Nylon,Thermobifida fusca,38,71,37,5
Polystyrene,Exiguobacterium sp.,16,17,40,6
Nylon,Bacillus subtilis,44,253,27,8
Nylon,Citrobacter koseri,10,122,29,9
Polystyrene,Fusarium solani,69,10,17,8
Polyvinyl Chloride,Ideonella sakaiensis,22,287,12,9
Polyethylene,Halomonas titanicae,90,316,40,9
Polypropylene,Exiguobacterium sp.,69,326,35,7
Polyurethane,Alcanivorax borkumensis,37,273,40,5
Polyurethane,Ideonella sakaiensis,1,306,15,6
Polypropylene,Bacillus subtilis,85,293,31,6
Polycarbonate,Exiguobacterium sp.,83,210,22,7
Polycarbonate,Pseudomonas aeruginosa,88,218,18,7
Nylon,Halomonas titanicae,78,241,18,6
Nylon,Acidithiobacillus ferrooxidans,92,200,29,6
Polyvinyl Chloride,Thermobifida fusca,71,216,18,5
Polyethylene Terephthalate (PET),Aspergillus niger,36,205,40,9
Polystyrene,Alcanivorax borkumensis,48,216,24,5
Nylon,Streptomyces coelicolor,51,80,22,6
Polyurethane,Ochrobactrum sp.,32,267,31,9
Polyvinyl Chloride,Exiguobacterium sp.,21,35,25,6
Polystyrene,Bacillus alcalophilus,4,289,11,5
Polyvinyl Chloride,Fusarium solani,17,18,35,5
Polystyrene,Aspergillus niger,37,165,23,5
Polystyrene,Exiguobacterium sp.,36,13,36,9
Polypropylene,Exiguobacterium sp.,93,202,15,8
Nylon,Sulfolobus acidocaldarius,94,229,11,8
Polyethylene,Ideonella sakaiensis,63,346,17,6
Polyvinyl Chloride,Sulfolobus acidocaldarius,9,1,13,9
Polyethylene,Aspergillus niger,78,319,30,7
Polyvinyl Chloride,Citrobacter koseri,41,217,33,8
Polypropylene,Acidithiobacillus ferrooxidans,47,34,23,9
Polyurethane,Sulfolobus acidocaldarius,43,359,20,9
Polyethylene,Bacillus alcalophilus,81,266,33,8
Polyurethane,Alcanivorax borkumensis,86,128,37,9
Polycarbonate,Streptomyces coelicolor,96,212,23,9
Nylon,Ideonella sakaiensis,15,263,21,8
Nylon,Thermobifida fusca,53,312,25,5
Polyethylene Terephthalate (PET),Halomonas titanicae,34,80,15,6
Polypropylene,Streptomyces coelicolor,97,165,29,7
Polyurethane,Streptomyces coelicolor,27,252,40,6
Polystyrene,Halomonas titanicae,1,12,10,5
Polyvinyl Chloride,Sulfolobus acidocaldarius,93,304,21,5
Nylon,Aspergillus niger,12,212,16,9
Polyethylene,Halomonas titanicae,40,282,17,6
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,79,112,18,5
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,58,211,11,6
Polyethylene Terephthalate (PET),Bacillus subtilis,68,239,26,5
Polyurethane,Pseudomonas aeruginosa,91,268,29,7
Nylon,Citrobacter koseri,52,298,22,5
Polyvinyl Chloride,Alcanivorax borkumensis,44,317,14,6
Nylon,Fusarium solani,19,58,19,9
Polystyrene,Sulfolobus acidocaldarius,23,34,21,6
Polyethylene Terephthalate (PET),Ideonella sakaiensis,60,263,26,8
Polystyrene,Thermobifida fusca,90,365,30,6
Nylon,Citrobacter koseri,93,35,15,7
Polycarbonate,Halomonas titanicae,57,271,12,7
Polyethylene,Pseudomonas aeruginosa,26,227,37,7
Nylon,Fusarium solani,25,25,24,5
Polyurethane,Ideonella sakaiensis,6,234,16,7
Polyvinyl Chloride,Alcanivorax borkumensis,41,59,39,6
Polyvinyl Chloride,Ochrobactrum sp.,46,251,15,9
Polystyrene,Alcanivorax borkumensis,52,335,13,7
Polyethylene,Sulfolobus acidocaldarius,58,86,28,6
Polyethylene Terephthalate (PET),Halomonas titanicae,37,251,14,5
Polycarbonate,Ochrobactrum sp.,68,180,12,5
Polypropylene,Citrobacter koseri,86,207,35,9
Polyethylene,Aspergillus niger,91,344,34,9
Polyvinyl Chloride,Citrobacter koseri,97,149,18,6
Polyurethane,Citrobacter koseri,52,71,15,9
Polyethylene,Alcanivorax borkumensis,14,121,22,9
Polystyrene,Aspergillus niger,95,253,36,5
Polystyrene,Aspergillus niger,25,93,31,6
Polypropylene,Sulfolobus acidocaldarius,47,256,37,9
Polyurethane,Ideonella sakaiensis,94,254,39,6
Polyethylene Terephthalate (PET),Fusarium solani,18,352,29,7
Polyethylene,Exiguobacterium sp.,8,288,13,5
Polyurethane,Streptomyces coelicolor,63,309,11,5
Polyethylene Terephthalate (PET),Ideonella sakaiensis,92,59,35,5
Polyurethane,Streptomyces coelicolor,53,69,13,8
Polyurethane,Alcanivorax borkumensis,50,86,17,6
Nylon,Exiguobacterium sp.,38,274,22,7
Polystyrene,Fusarium solani,3,227,19,9
Polyethylene,Exiguobacterium sp.,2,81,27,7
Polyurethane,Sulfolobus acidocaldarius,63,114,18,6
Polyethylene,Citrobacter koseri,28,184,39,5
Polypropylene,Alcanivorax borkumensis,10,280,10,8
Polyurethane,Aspergillus niger,96,322,22,6
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,57,318,27,6
Polystyrene,Alcanivorax borkumensis,74,54,24,9
Polyvinyl Chloride,Streptomyces coelicolor,26,197,11,7
Polyethylene,Ochrobactrum sp.,96,293,20,7
Polyethylene,Fusarium solani,20,293,38,9
Polystyrene,Thermobifida fusca,38,291,40,8
Polyethylene,Exiguobacterium sp.,94,180,23,5
Polyvinyl Chloride,Fusarium solani,45,222,31,5
Polyurethane,Ideonella sakaiensis,65,274,24,8
Polyurethane,Thermobifida fusca,90,244,23,9
Nylon,Sulfolobus acidocaldarius,35,154,25,6
Polypropylene,Alcanivorax borkumensis,74,304,32,7
Polyethylene,Ideonella sakaiensis,81,273,38,6
Polyvinyl Chloride,Ochrobactrum sp.,64,135,24,7
Polyethylene,Halomonas titanicae,62,313,40,6
Polyethylene,Thermobifida fusca,98,8,28,9
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,34,128,36,9
Nylon,Ideonella sakaiensis,30,56,18,8
Polyvinyl Chloride,Aspergillus niger,27,126,14,6
Polyvinyl Chloride,Alcanivorax borkumensis,0,159,14,6
Polyethylene,Pseudomonas aeruginosa,24,59,20,8
Nylon,Sulfolobus acidocaldarius,42,58,37,8
Polyurethane,Bacillus alcalophilus,83,140,29,9
Polyvinyl Chloride,Sulfolobus acidocaldarius,66,176,34,9
Polyurethane,Exiguobacterium sp.,62,108,33,6
Nylon,Acidithiobacillus ferrooxidans,50,211,37,9
Polyurethane,Bacillus alcalophilus,1,74,13,9
Polystyrene,Ochrobactrum sp.,81,167,29,6
Polyethylene Terephthalate (PET),Exiguobacterium sp.,63,357,27,8
Polycarbonate,Exiguobacterium sp.,73,304,34,6
Polyvinyl Chloride,Aspergillus niger,68,233,12,5
Polypropylene,Ochrobactrum sp.,8,327,13,6
Polyethylene Terephthalate (PET),Aspergillus niger,1,182,23,5
Polycarbonate,Ochrobactrum sp.,33,122,16,6
Polyurethane,Bacillus subtilis,59,334,35,5
Polyvinyl Chloride,Citrobacter koseri,60,203,17,5
Polyurethane,Streptomyces coelicolor,30,29,33,6
Polystyrene,Ochrobactrum sp.,9,202,25,9
Nylon,Citrobacter koseri,75,93,29,7
Polyvinyl Chloride,Citrobacter koseri,35,329,24,9
Polycarbonate,Thermobifida fusca,84,356,16,5
Polycarbonate,Acidithiobacillus ferrooxidans,48,176,35,6
Polystyrene,Streptomyces coelicolor,69,330,26,6
Polystyrene,Halomonas titanicae,48,211,31,6
Polyethylene,Bacillus alcalophilus,2,184,31,6
Polyvinyl Chloride,Fusarium solani,73,95,31,7
Polyurethane,Citrobacter koseri,4,273,21,8
Polypropylene,Acidithiobacillus ferrooxidans,89,137,27,5
Polycarbonate,Bacillus subtilis,60,237,33,7
Polycarbonate,Ochrobactrum sp.,84,353,23,9
Polystyrene,Alcanivorax borkumensis,89,265,24,8
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,25,135,24,8
Polystyrene,Thermobifida fusca,71,144,14,6
Polypropylene,Exiguobacterium sp.,4,19,25,7
Polyurethane,Thermobifida fusca,14,231,14,9
Polyurethane,Streptomyces coelicolor,15,134,11,6
Polyethylene Terephthalate (PET),Exiguobacterium sp.,0,114,29,6
Polycarbonate,Thermobifida fusca,15,139,37,5
Polystyrene,Ochrobactrum sp.,36,125,34,8
Polyethylene,Acidithiobacillus ferrooxidans,2,204,18,9
Polyurethane,Pseudomonas aeruginosa,51,61,31,8
Polypropylene,Pseudomonas aeruginosa,46,250,36,7
Polyvinyl Chloride,Bacillus subtilis,94,298,40,5
Nylon,Ideonella sakaiensis,12,13,18,6
Nylon,Fusarium solani,79,255,13,5
Nylon,Thermobifida fusca,54,85,24,6
Polyethylene,Aspergillus niger,20,20,20,5
Polycarbonate,Ochrobactrum sp.,65,50,10,6
Polystyrene,Aspergillus niger,53,164,27,8
Polyethylene Terephthalate (PET),Streptomyces coelicolor,26,92,38,8
Polyethylene,Streptomyces coelicolor,37,88,10,8
Polyethylene,Citrobacter koseri,89,69,17,8
Polyurethane,Pseudomonas aeruginosa,57,37,34,5
Polyvinyl Chloride,Thermobifida fusca,61,253,25,6
Polyethylene,Citrobacter koseri,45,252,35,8
Polypropylene,Aspergillus niger,88,140,37,5
Polyvinyl Chloride,Ideonella sakaiensis,10,355,31,6
Polypropylene,Bacillus alcalophilus,71,168,27,5
Polycarbonate,Bacillus alcalophilus,7,54,31,8
Polystyrene,Streptomyces coelicolor,96,178,18,7
Nylon,Ideonella sakaiensis,70,297,21,5
Polyethylene,Exiguobacterium sp.,63,301,28,8
Polystyrene,Aspergillus niger,20,359,34,9
Polycarbonate,Bacillus alcalophilus,71,106,27,6
Polyethylene Terephthalate (PET),Ideonella sakaiensis,62,137,36,8
Polyethylene Terephthalate (PET),Thermobifida fusca,84,190,14,9
Polycarbonate,Ideonella sakaiensis,63,128,36,5
Polypropylene,Aspergillus niger,19,342,11,5
Polyurethane,Sulfolobus acidocaldarius,7,47,16,9
Polyurethane,Ideonella sakaiensis,57,5,36,9
Polypropylene,Ideonella sakaiensis,45,257,19,6
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,30,300,24,5
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,92,150,34,9
Polyethylene,Citrobacter koseri,8,294,16,7
Polyethylene Terephthalate (PET),Aspergillus niger,14,243,37,7
Polystyrene,Alcanivorax borkumensis,93,275,14,9
Polyethylene Terephthalate (PET),Ideonella sakaiensis,25,208,24,6
Polyvinyl Chloride,Sulfolobus acidocaldarius,9,115,29,5
Polyethylene,Citrobacter koseri,28,195,37,7
Nylon,Aspergillus niger,79,343,29,9
Polyethylene Terephthalate (PET),Streptomyces coelicolor,35,170,24,9
Polypropylene,Alcanivorax borkumensis,83,82,19,8
Nylon,Citrobacter koseri,36,154,33,9
Polystyrene,Aspergillus niger,85,141,35,6
Polypropylene,Alcanivorax borkumensis,70,314,38,7
Nylon,Sulfolobus acidocaldarius,22,146,35,8
Polypropylene,Aspergillus niger,40,323,23,7
Polystyrene,Aspergillus niger,92,122,35,7
Polyethylene,Ochrobactrum sp.,79,252,35,6
Polyvinyl Chloride,Aspergillus niger,27,343,19,9
Polystyrene,Bacillus subtilis,47,311,26,6
Polystyrene,Fusarium solani,37,89,30,9
Polypropylene,Bacillus subtilis,30,58,23,8
Polyethylene,Ideonella sakaiensis,13,63,11,6
Polycarbonate,Streptomyces coelicolor,96,347,25,6
Polyurethane,Thermobifida fusca,72,308,22,5
Polyethylene Terephthalate (PET),Ideonella sakaiensis,90,280,36,6
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,87,72,18,5
Polyvinyl Chloride,Bacillus subtilis,76,9,16,9
Polyvinyl Chloride,Citrobacter koseri,89,94,25,9
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,28,339,19,9
Polyurethane,Fusarium solani,50,336,33,5
Polyethylene Terephthalate (PET),Exiguobacterium sp.,48,152,31,9
Polycarbonate,Acidithiobacillus ferrooxidans,42,356,18,7
Polyurethane,Fusarium solani,91,40,31,6
Polyvinyl Chloride,Pseudomonas aeruginosa,91,359,32,5
Nylon,Pseudomonas aeruginosa,71,62,16,9
Polypropylene,Aspergillus niger,86,254,25,7
Polycarbonate,Ideonella sakaiensis,92,69,18,6
Polycarbonate,Fusarium solani,4,245,36,6
Polyethylene,Exiguobacterium sp.,41,365,33,9
Polyvinyl Chloride,Fusarium solani,6,170,38,7
Polyvinyl Chloride,Streptomyces coelicolor,41,178,26,5
Polystyrene,Acidithiobacillus ferrooxidans,35,189,29,9
Polycarbonate,Streptomyces coelicolor,26,260,16,6
Polystyrene,Exiguobacterium sp.,57,72,20,6
Polystyrene,Fusarium solani,45,17,17,6
Polypropylene,Alcanivorax borkumensis,65,341,16,9
Polystyrene,Ochrobactrum sp.,24,57,37,8
Polyurethane,Ideonella sakaiensis,72,218,28,8
Polyethylene Terephthalate (PET),Streptomyces coelicolor,26,107,40,8
Nylon,Streptomyces coelicolor,0,304,29,7
Polyvinyl Chloride,Bacillus alcalophilus,86,173,21,9
Polyurethane,Fusarium solani,73,219,16,6
Nylon,Ideonella sakaiensis,41,247,17,7
Polycarbonate,Thermobifida fusca,51,218,16,8
Polycarbonate,Streptomyces coelicolor,24,31,15,5
Polycarbonate,Bacillus subtilis,53,47,34,7
Polyurethane,Sulfolobus acidocaldarius,66,134,18,7
Polyurethane,Ochrobactrum sp.,5,108,36,9
Polyvinyl Chloride,Ochrobactrum sp.,57,72,22,7
Polyethylene Terephthalate (PET),Fusarium solani,69,327,16,9
Polyethylene,Pseudomonas aeruginosa,52,108,17,5
Polystyrene,Bacillus alcalophilus,65,309,31,6
Polycarbonate,Streptomyces coelicolor,57,272,26,6
Polypropylene,Bacillus alcalophilus,81,171,26,8
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,86,116,25,8
Polypropylene,Exiguobacterium sp.,1,329,31,5
Polyvinyl Chloride,Exiguobacterium sp.,75,74,11,6
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,21,256,39,8
Polyvinyl Chloride,Thermobifida fusca,36,81,17,7
Nylon,Fusarium solani,19,268,26,9
Polypropylene,Pseudomonas aeruginosa,23,128,22,8
Polyethylene Terephthalate (PET),Halomonas titanicae,83,326,27,5
Polyethylene,Thermobifida fusca,64,235,33,6
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,64,41,37,5
Polyurethane,Halomonas titanicae,80,181,31,9
Polyurethane,Fusarium solani,0,157,37,9
Polycarbonate,Aspergillus niger,93,59,19,5
Polyethylene,Ideonella sakaiensis,2,345,11,8
Polyurethane,Bacillus alcalophilus,45,249,11,8
Polyvinyl Chloride,Bacillus alcalophilus,54,192,36,6
Polyethylene Terephthalate (PET),Ideonella sakaiensis,74,24,23,6
Polypropylene,Ideonella sakaiensis,87,80,25,7
Polyvinyl Chloride,Exiguobacterium sp.,85,134,16,7
Nylon,Thermobifida fusca,63,213,30,6
Polyurethane,Halomonas titanicae,44,348,30,7
Polyvinyl Chloride,Ideonella sakaiensis,25,166,33,5
Polyvinyl Chloride,Bacillus subtilis,76,348,21,8
Nylon,Citrobacter koseri,64,337,37,7
Polystyrene,Ideonella sakaiensis,23,71,32,7
Polyethylene Terephthalate (PET),Streptomyces coelicolor,73,214,37,5
Polypropylene,Streptomyces coelicolor,34,65,23,9
Polycarbonate,Streptomyces coelicolor,23,221,34,6
Polystyrene,Exiguobacterium sp.,27,308,13,5
Polyurethane,Ochrobactrum sp.,99,286,35,9
Polyvinyl Chloride,Pseudomonas aeruginosa,79,185,13,5
Polyethylene,Bacillus subtilis,15,207,27,8
Nylon,Alcanivorax borkumensis,58,99,12,5
Nylon,Ochrobactrum sp.,80,242,10,5
Polyethylene,Halomonas titanicae,53,158,26,8
Polyethylene Terephthalate (PET),Bacillus subtilis,78,98,16,6
Polystyrene,Acidithiobacillus ferrooxidans,15,42,39,9
Polycarbonate,Halomonas titanicae,14,139,25,7
Polyethylene Terephthalate (PET),Bacillus subtilis,97,283,39,6
Polyethylene,Citrobacter koseri,10,227,14,5
Polyvinyl Chloride,Thermobifida fusca,64,72,28,7
Polyethylene,Bacillus subtilis,78,243,16,8
Polyethylene Terephthalate (PET),Bacillus subtilis,89,18,23,6
Polypropylene,Ochrobactrum sp.,67,77,11,9
Nylon,Bacillus subtilis,42,45,12,6
Nylon,Bacillus alcalophilus,68,343,26,6
Polyurethane,Ochrobactrum sp.,98,140,25,7
Polyurethane,Aspergillus niger,12,177,17,8
Polyethylene,Fusarium solani,9,222,27,8
Polycarbonate,Acidithiobacillus ferrooxidans,74,92,24,6
Polyvinyl Chloride,Thermobifida fusca,81,22,16,8
Polypropylene,Acidithiobacillus ferrooxidans,97,172,36,7
Polystyrene,Bacillus alcalophilus,40,92,18,7
Polyethylene Terephthalate (PET),Ideonella sakaiensis,49,192,15,9
Polycarbonate,Pseudomonas aeruginosa,86,77,27,8
Polyvinyl Chloride,Thermobifida fusca,70,281,27,9
Polyurethane,Fusarium solani,58,364,34,5
Polyethylene,Halomonas titanicae,38,179,35,7
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,2,238,33,6
Polyurethane,Fusarium solani,75,135,23,7
Polyethylene,Citrobacter koseri,6,365,23,5
Polyethylene Terephthalate (PET),Citrobacter koseri,48,280,23,6
Polystyrene,Sulfolobus acidocaldarius,25,19,34,8
Polyvinyl Chloride,Ideonella sakaiensis,32,83,13,8
Polyethylene Terephthalate (PET),Ochrobactrum sp.,100,228,13,7
Polypropylene,Alcanivorax borkumensis,47,265,24,6
Polycarbonate,Citrobacter koseri,78,112,24,6
Nylon,Halomonas titanicae,1,251,27,9
Polypropylene,Aspergillus niger,70,164,23,5
Polypropylene,Streptomyces coelicolor,31,358,35,8
Polycarbonate,Sulfolobus acidocaldarius,3,168,10,7
Nylon,Streptomyces coelicolor,19,221,19,6
Polypropylene,Acidithiobacillus ferrooxidans,35,304,38,8
Polyethylene Terephthalate (PET),Ideonella sakaiensis,31,191,29,7
Polyethylene Terephthalate (PET),Bacillus subtilis,27,325,19,8
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,76,170,19,7
Nylon,Acidithiobacillus ferrooxidans,0,45,36,8
